"state_id","local_id","school_local_id","assessment_date","assessment_scale_score","assessment_performance_level","assessment_growth","assessment_name","assessment_subject","assessment_test"
"991222222","111222222","","2018-05-15","239.0","NI","31.0","MCAS","Science","MCAS"
"991222222","111222222","","2018-05-15","255.0","P","56.0","MCAS","ELA","MCAS"
"991222222","111222222","","2018-05-15","261.0","A","46.0","MCAS","Mathematics","MCAS"
"9922222211","2222222211","","2018-05-15","269.0","A","65.0","MCAS","ELA","MCAS"
"9922222211","2222222211","","2018-05-15","269.0","A","56.0","MCAS","Mathematics","MCAS"
"9925555555","2225555555","","2018-05-15","203.0","F","5.0","MCAS","Science","MCAS"
"9925555555","2225555555","","2018-05-15","225.0","NI","38.0","MCAS","ELA","MCAS"
"9925555555","2225555555","","2018-05-15","221.0","NI","24.0","MCAS","Mathematics","MCAS"
"993333333","333333333","","2018-06-30","507.0","M","34.0","MCAS","Mathematics","MCAS"
"993333333","333333333","","2018-06-30","233.0","NI","35.0","MCAS","Science","MCAS"
"993333333","333333333","","2018-06-30","535.0","E","45.0","MCAS","ELA","MCAS"
"993333333","333333333","","2018-06-30","","3.1","","ACCESS","Listening","ACCESS"
"993333333","333333333","","2018-06-30","","2.4","","ACCESS","Speaking","ACCESS"
"993333333","333333333","","2018-06-30","","1.7","","ACCESS","Reading","ACCESS"
"993333333","333333333","","2018-06-30","","4.2","","ACCESS","Writing","ACCESS"
"993333333","333333333","","2018-06-30","","3.8","","ACCESS","Comprehension","ACCESS"
"993333333","333333333","","2018-06-30","","2.8","","ACCESS","Oral","ACCESS"
"993333333","333333333","","2018-06-30","","3.8","","ACCESS","Literacy","ACCESS"
"993333333","333333333","","2018-06-30","","3.5","","ACCESS","Overall","ACCESS"
